trip_id,pickup_datetime,dropoff_datetime,pickup_borough,dropoff_borough,passenger_count,trip_distance_miles,fare_amount,tip_amount,total_amount,payment_type,trip_year,trip_month
TRIP_000001,2023-11-03 13:09:39,2023-11-03 13:30:39,Manhattan,Bronx,5,11.55,34.09,8.84,43.43,Credit Card,2023,11
TRIP_000002,2023-07-21 12:30:41,2023-07-21 13:20:41,Manhattan,Bronx,2,7.37,24.92,1.05,26.47,Credit Card,2023,7
TRIP_000003,2023-10-19 14:01:21,2023-10-19 14:37:21,Queens,Manhattan,3,8.21,24.21,5.34,30.05,No Charge,2023,10
TRIP_000004,2023-02-05 22:26:51,2023-02-05 23:19:51,Queens,Manhattan,6,20.02,55.94,9.23,65.67,Dispute,2023,2
TRIP_000005,2023-03-30 13:59:01,2023-03-30 15:16:01,Staten Island,Staten Island,6,5.88,20.74,3.96,25.2,Dispute,2023,3
TRIP_000006,2023-03-15 19:42:42,2023-03-15 20:27:42,Manhattan,Manhattan,5,2.72,12.4,1.38,14.28,Dispute,2023,3
TRIP_000007,2023-02-18 10:32:55,2023-02-18 11:54:55,Brooklyn,Bronx,2,5.86,21.11,3.39,25.0,Dispute,2023,2
TRIP_000008,2023-07-21 21:29:49,2023-07-21 21:56:49,Staten Island,Manhattan,5,21.61,57.18,3.07,60.75,No Charge,2023,7
TRIP_000009,2023-06-08 23:10:01,2023-06-09 00:29:01,Queens,Manhattan,2,16.98,45.04,3.26,48.8,Cash,2023,6
TRIP_000010,2023-09-10 15:07:40,2023-09-10 16:18:40,Brooklyn,Brooklyn,5,3.78,16.89,4.6,21.99,Dispute,2023,9
TRIP_000011,2023-08-22 03:33:04,2023-08-22 04:17:04,Queens,Manhattan,6,20.87,54.76,2.78,58.04,Credit Card,2023,8
TRIP_000012,2023-12-15 12:57:41,2023-12-15 14:11:41,Queens,Queens,1,20.18,55.92,1.75,58.17,Cash,2023,12
TRIP_000013,2023-10-31 02:20:53,2023-10-31 03:20:53,Staten Island,Bronx,1,10.3,33.09,6.2,39.79,Credit Card,2023,10
TRIP_000014,2023-01-24 12:57:17,2023-01-24 14:01:17,Queens,Manhattan,4,13.78,40.32,8.09,48.91,No Charge,2023,1
TRIP_000015,2023-09-28 10:07:12,2023-09-28 11:00:12,Bronx,Brooklyn,1,2.66,11.9,2.21,14.61,Dispute,2023,9
TRIP_000016,2023-12-29 06:18:23,2023-12-29 07:03:23,Staten Island,Manhattan,5,19.62,52.29,11.64,64.43,No Charge,2023,12
TRIP_000017,2023-05-02 08:54:25,2023-05-02 09:47:25,Staten Island,Staten Island,6,13.08,39.35,7.66,47.51,Credit Card,2023,5
